type,comparison,outer_diam_in,dollars_per_ft,inner_conductor_in,freq_mhz,db_loss_100ft,power_capacity_watts,source,
rg-8u,rg-8u,,,,50,1.2,,Coaxial Loss (T9B05),https://www.rembar.com/resources-technical-information-on-refractory-metals/american-wire-gauge-awg/
rg-8u,rg-8u,,,,100,1.7,,https://www.hamradioschool.com/post/coaxial-loss-t9b06,
rg-8u,rg-8u,,,,200,2.6,,https://www.hamradioschool.com/post/coaxial-loss-t9b07,
rg-8u,rg-8u,,,,400,3.9,,https://www.hamradioschool.com/post/coaxial-loss-t9b08,
rg-58u,rg-58,,,,3.5,0.8,,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,7,1.2,,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,14,1.7,,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,28,2.4,400,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,50,3.2,300,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,144,5.5,160,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,440,9.9,80,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u,rg-58,,,,2400,24.8,,https://www.qsradio.com/coax-and-connector-info.html,
rg-58u-1,rg-58,,,,50,2.5,,https://www.hamradioschool.com/post/coaxial-loss-t9b09,
rg-58u-1,rg-58,,,,100,3.8,,https://www.hamradioschool.com/post/coaxial-loss-t9b10,
rg-58u-1,rg-58,,,,200,5.6,,https://www.hamradioschool.com/post/coaxial-loss-t9b11,
rg-58u-1,rg-58,,,,400,8.4,,https://www.hamradioschool.com/post/coaxial-loss-t9b12,
rg-8u-low,rg-8u,,,,50,0.9,,https://www.hamradioschool.com/post/coaxial-loss-t9b13,
rg-8u-low,rg-8u,,,,100,1.3,,https://www.hamradioschool.com/post/coaxial-loss-t9b14,
rg-8u-low,rg-8u,,,,200,1.8,,https://www.hamradioschool.com/post/coaxial-loss-t9b15,
rg-8u-low,rg-8u,,,,400,2.7,,https://www.hamradioschool.com/post/coaxial-loss-t9b16,
rg-8x,rg-8x,,,,3.5,0.65,,Quicksilver Radio | Coax and Connector Info,
rg-8x,rg-8x,,,,7,0.85,,Quicksilver Radio | Coax and Connector Info,
rg-8x,rg-8x,,,,14,1.21,,Quicksilver Radio | Coax and Connector Info,
rg-8x,rg-8x,,,,28,1.74,350,https://www.qsradio.com/coax-and-connector-info.html,
rg-8x,rg-8x,,,,50,2.36,280,Quicksilver Radio | Coax and Connector Info,
rg-8x,rg-8x,,,,144,4.2,150,https://www.qsradio.com/coax-and-connector-info.html,
rg-8x,rg-8x,,,,440,7.92,80,https://www.qsradio.com/coax-and-connector-info.html,
rg-8x,rg-8x,,,,2400,22.8,,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,3.5,0.3,,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,7,0.5,,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,14,0.7,,Quicksilver Radio | Coax and Connector Info,
rg-213,rg-213,,,,28,1,1800,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,50,1.4,1200,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,144,2.4,620,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,440,4.4,300,https://www.qsradio.com/coax-and-connector-info.html,
rg-213,rg-213,,,,2400,12,,https://www.qsradio.com/coax-and-connector-info.html,
lmr-240,lmr-240,0.24,1.39,0.045257,3.5,0.45,,https://www.qsradio.com/coax-and-connector-info.html,
lmr-240,lmr-240,0.24,1.39,0.045257,7,0.64,,https://www.qsradio.com/coax-and-connector-info.html,
lmr-240,lmr-240,0.24,1.39,0.045257,14,0.91,,https://www.qsradio.com/coax-and-connector-info.html,
lmr-240,lmr-240,0.24,1.39,0.045257,28,1.29,1490,https://www.qsradio.com/coax-and-connector-info.html,
lmr-240,lmr-240,0.24,1.39,0.045257,50,1.73,1150,https://www.qsradio.com/coax-and-connector-info.html,
